websites,store,attribute_set,type,sku,name,categories_text,deal_start_time,deal_stop_time,price,special_price,cost,weight,price_unit,price_unit_origin,market_price,status,tax_class_id,visibility,landing_page,product_unit,tilbud,netpris,calculated_unit,weight_unit,has_deal,special_from_date,description,short_description,meta_keyword,qty,product_name,meta_title,meta_description,aktuelt,retter,pant_sku,alphabetAtribute
base,admin,Default,simple,5702070325001,Futura Let Hostesaft,Personlig Pleje>Helse;Produkter>PersonligPleje,,,49.95,,,200,249.75,,,Disabled,DK25,"Catalog, Search",AXELLUS A/S,Kg,No,No,Gram,Kg,,,"Host-let, oral opløsning. 

Anvendelse: Slimløsnende naturlægemiddel ved hoste i kortere perioder.

Husk at læse oplysninger i indlægssedlen eller på emballagen samt andre oplysninger.

Ingredienser pr. ml:
98,5 mg ekstrakt af lakridsrod (3:1), svarende til 4,64 mg glycyrrhizinsyre. Ekstraktionsmiddel: Vand.
Hjælpestoffer: Koncentreret amoniakopløsning, ammoniumchlorid (E510), ethanol 96%, methylparahydroxybenzoat (E218), pebermynteolie, polysorbat 80 (E433), propylparahydroxybenzoat (E216), renset vand. Indeholder ethanol 1,1 vol%.",PERSONLIG PLEJE & PARFUME Helse & Vitamin Kosttilskud,"futura, let, hostesaft, slimopløsende, hoste, middel",9999,Futura Let Hostesaft,,,,,,
base,admin,Default,simple,7046260298606,Nicorette Fruitmint Tyggegummi,Personlig Pleje>Apotek;Produkter>PersonligPleje,,,39.95,,,0,39.95,,,Disabled,DK25,"Catalog, Search",MCNEIL,Kg,No,No,Kg,Kg,,,Nicorette Fruitmint Tyggegummi,PERSONLIG PLEJE & PARFUME Apoteket Rygeafvænning,"nicorette, fruitmint, tyggegummi, rygestop, nikotin",9999,Nicorette Fruitmint Tyggegummi,,,,,,
base,admin,Default,simple,7046260298873,Nicorette Fruitmint Tyggegummi,Personlig Pleje>Apotek;Produkter>PersonligPleje,,,57.95,,,0,57.95,,,Disabled,DK25,"Catalog, Search",MCNEIL,Kg,No,No,Kg,Kg,,,Nicorette Fruitmint Tyggegummi,PERSONLIG PLEJE & PARFUME Apoteket Rygeafvænning,"nicorette, fruitmint, tyggegummi, rygestop, nikotin",9999,Nicorette Fruitmint Tyggegummi,,,,,,
base,admin,Default,simple,7046260298781,Nicorette Fruitmint Tyggegummi,Personlig Pleje>Apotek;Produkter>PersonligPleje,,,199.95,,,0,199.95,,,Disabled,DK25,"Catalog, Search",MCNEIL,Kg,No,No,Kg,Kg,,,Nicorette Fruitmint Tyggegummi,PERSONLIG PLEJE & PARFUME Apoteket Rygeafvænning,"nicorette, fruitmint, tyggegummi, rygestop, nikotin",9999,Nicorette Fruitmint Tyggegummi,,,,,,
base,admin,Default,simple,7046263721859,Nicorette Nikotin Inhalator 18 stk,Personlig Pleje>Apotek;Produkter>PersonligPleje,,,99.95,,,0,99.95,,,Disabled,DK25,"Catalog, Search",MCNEIL,Kg,No,No,Kg,Kg,,,Nicorette Nikotin Inhalator 18 stk,PERSONLIG PLEJE & PARFUME Apoteket Rygeafvænning,"nicorette, nikotin, inhalator, rygestop ",9999,Nicorette Nikotin Inhalator 18 stk,,,,,,
base,admin,Default,simple,5702070252000,Livol Stærk B-Vitamin,Personlig Pleje>Helse;Produkter>PersonligPleje,,,45.95,,,0,45.95,,,Disabled,DK25,"Catalog, Search",AXELLUS A/S,Kg,No,No,Kg,Kg,,,"Livol Mono Stærk B-Vitamin er sammensat af hele syv forskellige B-vitaminer. Alle B-vitaminer er vigtige for energistofskiftet, blandt andet for omdannelsen af kulhydrat til druesukker. B6 bidrager til at regulere hormonaktivitet og nervesystem. B12 og folsyre bidrager til produktion af røde blodlegemer og normal celledeling.

Antal: 100 stk.

Ingredienser:
Fyldemidler (dicalciumphosphat, mikrokrystallinsk cellulose), vitaminer (thiaminmononitrat, riboflavin, pyridoxinhydrochlorid, cyanocobalamin, folsyre, nikotinamid, calcium-D-pantothenat), maltodextrin, overfladebehandlingsmidler (magnesiumsalte af fedtsyrer, hydroxypropylmethylcellulose, carnauba voks), farvestof (jernoxid og jernhydroxider), fugtighedsbevarende middel (glycerol).",PERSONLIG PLEJE & PARFUME Helse & Vitamin Vitaminer,"livol, B-vitamin, vitaminer, kosttilskud",9999,Livol Stærk B-Vitamin,,,,,,
base,admin,Default,simple,5702070254004,Livol Mono Stærk Syreneutral C-Vitamin,Personlig Pleje>Helse;Produkter>PersonligPleje,,,41.5,,,0,41.5,,,Disabled,DK25,"Catalog, Search",AXELLUS A/S,Kg,No,No,Kg,Kg,,,"Vedligehold dit immunforsvar. Livol Mono Stærk C bidrager både til at vedligeholde immunforsvar og nervesystem, funktionerne i knogler, tænder, hud og blodkar. C-vitamin øger kroppens optagelse af jern fra grøntsager. C-vitamin har betydning for immunforsvaret i forbindelse med intens fysisk aktivitet.

Antal: 100 stk.

Ingredienser:
Vitamin (natriumascorbat, ascorbinsyre), fyldemidler (dicalciumphospat, mikrokrystallinsk cellulose), maltodextrin, overfladebehandlingsmiddel (magnesiumsalte af fedtsyrer).",PERSONLIG PLEJE & PARFUME Helse & Vitamin Vitaminer,"livol, mono, stærk, syreneutral, C-Vitamin, vitaminer, kosttilskud",9999,Livol Mono Stærk Syreneutral C-Vitamin,,,,,,
base,admin,Default,simple,7046264397947,Otrivin Næsespray,Personlig Pleje>Apotek;Produkter>PersonligPleje,,,39.95,,,10,3995,,,Disabled,DK25,"Catalog, Search",NOVARTIS,Kg,No,No,Gram,Kg,,,"Otrivin anvendes mod tilstoppet næse ved forkølelse og bihulebetændelse.

Virker ved at mindske slimhindehævelsen.",PERSONLIG PLEJE & PARFUME Apoteket Diverse Apotek,"otrivin, næsespray, næse, spray, håndkøb, medicin ",9999,Otrivin Næsespray,,,,,,
base,admin,Default,simple,7046260045699,Pamol Tabletter Smertestillende,Personlig Pleje>Apotek;Produkter>PersonligPleje,,,9.95,,,0,9.95,,,Disabled,DK25,"Catalog, Search",AXELLUS A/S,Kg,No,No,Kg,Kg,,,Pamol anvendes ved svage smerter. Midlet virker desuden febernedsættende.,PERSONLIG PLEJE & PARFUME Apoteket Smertestillende,"pamol, tabletter, smertestillende, medicin, håndkøb, piller",9999,Pamol Tabletter Smertestillende,,,,,,
base,admin,Default,simple,5702070112502,Livol Multi Total Børnevitaminer med Jordbærsmag,Personlig Pleje>Helse;Produkter>PersonligPleje,,,109.95,,,0,109.95,,,Disabled,DK25,"Catalog, Search",AXELLUS A/S,Kg,No,No,Kg,Kg,,,"Livol Multi Total Børn er tilpasset barnets særlige behov fra 1-10 år. Tabletten indeholder bl. a. kalk og D-vitamin, som understøtter barnets knogler, mens det vokser. Livol Multi Total Børn med jordbærsmag er sødet med sukker.

Antal: 175 stk.

Ingredienser:
Sukker, mineraler (calciumcarbonat, magnesiumhydroxid, carbonyl jern, zinoxid, cuprioxid, kaliumjodid, manganosulfat, chromichlorid, natriumselenit, natriummolybdat), vitaminer (retinylacetat, thiaminmononitrat, riboflavin, pyridoxinhydrochlorid, cyanocobalamin, folsyre, nikotinamid, calcium-D-pantothenat, ascorbinsyre, natriumascorbat, cholecalciferol, dl-a-tocopherylacetat), maltodextrin, overfladebehandlingsmidler (polyvinylpyrrolidon, magnesiumsalte af fedtsyrer, shellak), aroma, syre (citronsyre).",PERSONLIG PLEJE & PARFUME Helse & Vitamin Vitaminer,"livol, multi, total, børnevitaminer, jordbærsmag, vitaminer, kosttilskud",9999,Livol Multi Total Børnevitaminer med Jordbærsmag,,,,,,
